EXPENSE_YEAR,EXPENSE_MONTH,ORGANIZATION_CODE,EXPENSE_TYPE_CODE,EXPENSE_PLAN_TOTAL
2020,1,4820,3,100.00
2020,1,5700,3,2000.00
2020,1,5710,3,1000.00
2020,1,5720,3,1000.00
2020,1,5740,3,8000.00
2020,1,5750,3,1000.00
2020,1,5760,3,1000.00
2020,1,5810,3,500.00
2020,1,5820,3,400.00
2020,1,6710,3,1000.00
2020,1,6720,3,1000.00
2020,1,6730,3,2000.00
2020,1,6740,3,1000.00
2020,1,6760,3,4000.00
2020,1,6810,3,4000.00
2020,1,7700,3,2000.00
2020,1,7720,3,1000.00
2020,1,7740,3,3000.00
2020,1,7750,3,2000.00
2020,1,7760,3,300.00
2020,1,7810,3,2000.00
2020,1,7820,3,1000.00
2020,1,8700,3,1000.00
2020,1,8720,3,1000.00
2020,1,8740,3,6000.00
2020,1,8750,3,2000.00
2020,1,8760,3,2000.00
2020,1,8800,3,2000.00
2020,1,8810,3,1000.00
2020,1,8820,3,4000.00
2020,2,006,3,2000.00
2020,2,007,3,2000.00
2020,2,009,3,2000.00
2020,2,013,3,4000.00
2020,2,014,3,200.00
2020,2,015,3,5000.00
2020,2,017,3,2000.00
2020,2,018,3,2000.00
2020,2,019,3,1000.00
2020,2,020,3,3000.00
2020,2,021,3,1000.00
2020,2,022,3,2000.00
2020,2,023,3,3000.00
2020,2,024,3,1000.00
2020,2,025,3,500.00
2020,2,026,3,1000.00
2020,2,028,3,100.00
2020,2,029,3,3000.00
2020,2,030,3,1000.00
2020,2,031,3,1000.00
2020,2,032,3,1000.00
2020,2,033,3,1000.00
2020,2,034,3,1000.00
2020,2,035,3,2000.00
2020,2,037,3,2000.00
2020,2,038,3,1000.00
2020,2,039,3,1000.00
2020,2,040,3,13000.00
2020,2,1700,3,2000.00
2020,2,1710,3,200.00
2020,2,1720,3,2000.00
2020,2,1730,3,200.00
2020,2,1740,3,4000.00
2020,2,1750,3,3000.00
2020,2,1760,3,2000.00
2020,2,1800,3,3000.00
2020,2,1810,3,2000.00
2020,2,1820,3,3000.00
2020,2,4700,3,1000.00
2020,2,4710,3,1000.00
2020,2,4720,3,1000.00
2020,2,4730,3,2000.00
2020,2,4740,3,4000.00
2020,2,4750,3,1000.00
2020,2,4760,3,200.00
2020,2,4800,3,1000.00
2020,2,4810,3,1000.00
2020,2,4820,3,1000.00
2020,2,5710,3,1000.00
2020,2,5720,3,1000.00
2020,2,5730,3,1000.00
2020,2,5740,3,4000.00
2020,2,5760,3,1000.00
2020,2,5800,3,2000.00
2020,2,5810,3,3000.00
2020,2,5820,3,1000.00
2020,2,6700,3,3000.00
2020,2,6710,3,1000.00
2020,2,6720,3,2000.00
2020,2,6730,3,3000.00
2020,2,6740,3,5000.00
2020,2,6750,3,2000.00
2020,2,6760,3,3000.00
2020,2,6800,3,2000.00
2020,2,6810,3,3000.00
2020,2,6820,3,3000.00
2020,2,7710,3,1000.00
2020,2,7720,3,3000.00
2020,2,7730,3,400.00
2020,2,7740,3,6000.00
2020,2,7750,3,100.00
2020,2,7760,3,5000.00
2020,2,7800,3,2000.00
2020,2,7810,3,1000.00
2020,2,7820,3,3000.00
2020,2,8710,3,2000.00
2020,2,8720,3,2000.00
2020,2,8740,3,10000.00
2020,2,8750,3,3000.00
2020,2,8760,3,3000.00
2020,2,8800,3,1000.00
2020,2,8810,3,2000.00
2020,2,8820,3,1000.00
2020,3,007,3,1000.00
2020,3,009,3,1000.00
2020,3,014,3,1000.00
2020,3,015,3,2000.00
2020,3,018,3,300.00
2020,3,019,3,3000.00
2020,3,020,3,1000.00
2020,3,021,3,1000.00
2020,3,024,3,1000.00
2020,3,026,3,1000.00
2020,3,028,3,1000.00
2020,3,029,3,5000.00
2020,3,030,3,1000.00
2020,3,031,3,2000.00
2020,3,032,3,1000.00
2020,3,033,3,2000.00
2020,3,034,3,2000.00
2020,3,035,3,1000.00
2020,3,036,3,1000.00
2020,3,037,3,2000.00
2020,3,038,3,2000.00
2020,3,039,3,400.00
2020,3,040,3,11000.00
2020,3,1700,3,1000.00
2020,3,1710,3,500.00
2020,3,1720,3,2000.00
2020,3,1730,3,1000.00
2020,3,1740,3,5000.00
2020,3,1750,3,2000.00
2020,3,1760,3,4000.00
2020,3,1800,3,1000.00
2020,3,1810,3,3000.00
2020,3,1820,3,2000.00
2020,3,4700,3,1000.00
2020,3,4710,3,1000.00
2020,3,4730,3,200.00
2020,3,4740,3,3000.00
2020,3,4750,3,1000.00
2020,3,4760,3,2000.00
2020,3,4800,3,1000.00
2020,3,4810,3,3000.00
2020,3,4820,3,3000.00
2020,3,5700,3,2000.00
2020,3,5710,3,1000.00
2020,3,5720,3,4000.00
2020,3,5730,3,300.00
2020,3,5740,3,1000.00
2020,3,5750,3,2000.00
2020,3,5760,3,2000.00
2020,3,5800,3,400.00
2020,3,5810,3,500.00
2020,3,5820,3,1000.00
2020,3,6700,3,1000.00
2020,3,6710,3,1000.00
2020,3,6720,3,1000.00
2020,3,6730,3,1000.00
2020,3,6740,3,5000.00
2020,3,6750,3,300.00
2020,3,6760,3,7000.00
2020,3,6800,3,1000.00
2020,3,6810,3,1000.00
2020,3,6820,3,1000.00
2020,3,7700,3,1000.00
2020,3,7710,3,300.00
2020,3,7720,3,1000.00
2020,3,7730,3,200.00
2020,3,7740,3,10000.00
2020,3,7750,3,2000.00
2020,3,7760,3,1000.00
2020,3,7810,3,1000.00
2020,3,7820,3,1000.00
2020,3,8710,3,300.00
2020,3,8720,3,5000.00
2020,3,8730,3,2000.00
2020,3,8740,3,10000.00
2020,3,8750,3,2000.00
2020,3,8760,3,2000.00
2020,3,8800,3,1000.00
2020,3,8810,3,2000.00
2020,3,8820,3,2000.00
2020,4,007,3,1000.00
2020,4,009,3,2000.00
2020,4,013,3,2000.00
2020,4,014,3,400.00
2020,4,015,3,3000.00
2020,4,017,3,1000.00
2020,4,018,3,1000.00
2020,4,019,3,300.00
2020,4,020,3,2000.00
2020,4,021,3,1000.00
2020,4,022,3,1000.00
2020,4,023,3,6000.00
2020,4,024,3,2000.00
2020,4,025,3,500.00
2020,4,026,3,2000.00
2020,4,028,3,1000.00
2020,4,029,3,300.00
2020,4,031,3,1000.00
2020,4,032,3,1000.00
2020,4,033,3,500.00
2020,4,034,3,1000.00
2020,4,035,3,400.00
2020,4,037,3,2000.00
2020,4,038,3,1000.00
2020,4,040,3,11000.00
2020,4,1700,3,2000.00
2020,4,1710,3,2000.00
2020,4,1720,3,1000.00
2020,4,1730,3,400.00
2020,4,1740,3,9000.00
2020,4,1760,3,1000.00
2020,4,1810,3,3000.00
2020,4,1820,3,1000.00
2020,4,4700,3,1000.00
2020,4,4710,3,1000.00
2020,4,4720,3,400.00
2020,4,4730,3,1000.00
2020,4,4740,3,2000.00
2020,4,4750,3,3000.00
2020,4,4760,3,2000.00
2020,4,4800,3,2000.00
2020,4,4810,3,2000.00
2020,4,4820,3,200.00
2020,4,5700,3,1000.00
2020,4,5710,3,400.00
2020,4,5720,3,2000.00
2020,4,5730,3,1000.00
2020,4,5740,3,9000.00
2020,4,5760,3,1000.00
2020,4,5800,3,1000.00
2020,4,5810,3,1000.00
2020,4,5820,3,3000.00
2020,4,6710,3,500.00
2020,4,6720,3,1000.00
2020,4,6730,3,1000.00
2020,4,6740,3,9000.00
2020,4,6750,3,4000.00
2020,4,6760,3,500.00
2020,4,6800,3,2000.00
2020,4,6810,3,2000.00
2020,4,6820,3,3000.00
2020,4,7700,3,6000.00
2020,4,7710,3,300.00
2020,4,7720,3,1000.00
2020,4,7730,3,2000.00
2020,4,7740,3,300.00
2020,4,7760,3,4000.00
2020,4,7800,3,7000.00
2020,4,7810,3,1000.00
2020,4,7820,3,2000.00
2020,4,8700,3,2000.00
2020,4,8710,3,1000.00
2020,4,8720,3,2000.00
2020,4,8740,3,10000.00
2020,4,8750,3,5000.00
2020,4,8760,3,1000.00
2020,4,8810,3,2000.00
2020,4,8820,3,2000.00
2020,5,006,3,2000.00
2020,5,007,3,2000.00
2020,5,009,3,3000.00
2020,5,014,3,2000.00
2020,5,015,3,2000.00
2020,5,017,3,1000.00
2020,5,018,3,2000.00
2020,5,019,3,1000.00
2020,5,020,3,500.00
2020,5,021,3,1000.00
2020,5,022,3,1000.00
2020,5,023,3,1000.00
2020,5,024,3,400.00
2020,5,025,3,200.00
2020,5,028,3,400.00
2020,5,029,3,2000.00
2020,5,030,3,1000.00
2020,5,031,3,1000.00
2020,5,032,3,2000.00
2020,5,033,3,400.00
2020,5,034,3,1000.00
2020,5,035,3,3000.00
2020,5,036,3,1000.00
2020,5,039,3,3000.00
2020,5,040,3,7000.00
2020,5,1700,3,1000.00
2020,5,1710,3,1000.00
2020,5,1720,3,1000.00
2020,5,1730,3,1000.00
2020,5,1740,3,1000.00
2020,5,1760,3,1000.00
2020,5,1800,3,6000.00
2020,5,1810,3,3000.00
2020,5,1820,3,2000.00
2020,5,4720,3,1000.00
2020,5,4730,3,1000.00
2020,5,4740,3,1000.00
2020,5,4750,3,200.00
2020,5,4760,3,1000.00
2020,5,4800,3,1000.00
2020,5,4810,3,1000.00
2020,5,4820,3,1000.00
2020,5,5710,3,1000.00
2020,5,5720,3,1000.00
2020,5,5730,3,1000.00
2020,5,5740,3,1000.00
2020,5,5750,3,1000.00
2020,5,5760,3,1000.00
2020,5,5800,3,400.00
2020,5,5820,3,400.00
2020,5,6720,3,2000.00
2020,5,6730,3,100.00
2020,5,6740,3,5000.00
2020,5,6750,3,400.00
2020,5,6760,3,2000.00
2020,5,6800,3,1000.00
2020,5,6810,3,1000.00
2020,5,7710,3,100.00
2020,5,7730,3,100.00
2020,5,7740,3,7000.00
2020,5,7750,3,2000.00
2020,5,7800,3,400.00
2020,5,7810,3,1000.00
2020,5,7820,3,400.00
2020,5,8700,3,3000.00
2020,5,8710,3,300.00
2020,5,8730,3,7000.00
2020,5,8740,3,5000.00
2020,5,8750,3,2000.00
2020,5,8760,3,1000.00
2020,5,8800,3,1000.00
2020,5,8810,3,500.00
2020,5,8820,3,3000.00
2020,6,006,3,3000.00
2020,6,007,3,5000.00
2019,8,7760,14,100.00
2019,8,7810,14,1000.00
2019,8,7820,14,300.00
2019,8,8710,14,200.00
2019,8,8720,14,300.00
2019,8,8730,14,100.00
2019,8,8740,14,1000.00
2019,8,8760,14,200.00
2019,8,8810,14,1000.00
2019,8,8820,14,1000.00
2019,9,1710,14,500.00
2019,9,1720,14,300.00
2019,9,1730,14,200.00
2019,9,1740,14,1000.00
2019,9,1760,14,300.00
2019,9,1810,14,3000.00
2019,9,1820,14,1000.00
2019,9,4710,14,200.00
2019,9,4720,14,300.00
2019,9,4730,14,200.00
2019,9,4740,14,1000.00
2019,9,4760,14,100.00
2019,9,4810,14,1000.00
2019,9,4820,14,500.00
2019,9,5710,14,300.00
2019,9,5720,14,1000.00
2019,9,5730,14,200.00
2019,9,5740,14,1000.00
2019,9,5810,14,1000.00
2019,9,5820,14,1000.00
2019,9,6720,14,300.00
2019,9,6730,14,100.00
2019,9,6740,14,1000.00
2019,9,6810,14,1000.00
2019,9,6820,14,1000.00
2019,9,7710,14,200.00
2019,9,7720,14,1000.00
2019,9,7730,14,300.00
2019,9,7740,14,400.00
2019,9,7760,14,200.00
2019,9,7810,14,1000.00
2019,9,7820,14,400.00
2019,9,8710,14,300.00
2019,9,8720,14,1000.00
2019,9,8730,14,300.00
2019,9,8740,14,1000.00
2019,9,8760,14,500.00
2019,9,8810,14,1000.00
2019,9,8820,14,1000.00
2019,10,1710,14,300.00
2019,10,1720,14,300.00
2019,10,1730,14,300.00
2019,10,1740,14,1000.00
2019,10,1760,14,400.00
2019,10,1810,14,2000.00
2019,10,1820,14,2000.00
2019,10,4710,14,200.00
2019,10,4720,14,1000.00
2019,10,4730,14,300.00
2019,10,4740,14,1000.00
2019,10,4760,14,300.00
2019,10,4810,14,300.00
2019,10,4820,14,1000.00
2019,10,5710,14,300.00
2019,10,5720,14,1000.00
2019,10,5730,14,300.00
2019,10,5740,14,1000.00
2019,10,5810,14,1000.00
2019,10,5820,14,1000.00
2019,10,6720,14,400.00
2019,10,6730,14,300.00
2019,10,6740,14,1000.00
2019,10,6760,14,100.00
2019,10,6810,14,2000.00
2019,10,6820,14,300.00
2019,10,7710,14,200.00
2019,10,7720,14,1000.00
2019,10,7730,14,500.00
2019,10,7740,14,200.00
2019,10,7810,14,1000.00
2019,10,7820,14,1000.00
2019,10,8710,14,100.00
2019,10,8720,14,1000.00
2019,10,8730,14,200.00
2019,10,8740,14,1000.00
2019,10,8810,14,1000.00
2019,10,8820,14,2000.00
2019,11,1710,14,300.00
2019,11,1720,14,300.00
2019,11,1730,14,100.00
2019,11,1740,14,1000.00
2019,11,1760,14,400.00
2019,11,1810,14,3000.00
2019,11,1820,14,2000.00
2019,11,4710,14,300.00
2019,11,4720,14,1000.00
2019,11,4730,14,200.00
2019,11,4740,14,1000.00
2019,11,4760,14,100.00
2019,11,4810,14,2000.00
2019,11,4820,14,1000.00
2019,11,5710,14,400.00
2019,11,5720,14,1000.00
2019,11,5730,14,200.00
2019,11,5740,14,1000.00
2019,11,5810,14,1000.00
2019,11,5820,14,1000.00
2019,11,6720,14,400.00
2019,11,6730,14,1000.00
2019,11,6740,14,1000.00
2019,11,6760,14,300.00
2019,11,6810,14,1000.00
2019,11,6820,14,200.00
2019,11,7710,14,200.00
2019,11,7720,14,1000.00
2019,11,7730,14,500.00
2019,11,7740,14,1000.00
2019,11,7760,14,200.00
2019,11,7810,14,1000.00
2019,11,7820,14,500.00
2019,11,8710,14,300.00
2019,11,8720,14,1000.00
2019,11,8730,14,1000.00
2019,11,8740,14,1000.00
2019,11,8760,14,300.00
2019,11,8810,14,2000.00
2019,11,8820,14,1000.00
2019,12,1710,14,300.00
2019,12,1730,14,100.00
2019,12,1740,14,2000.00
2019,12,1760,14,300.00
2019,12,1810,14,2000.00
2019,12,1820,14,1000.00
2019,12,4710,14,300.00
2019,12,4720,14,1000.00
2019,12,4730,14,200.00
2019,12,4740,14,1000.00
2019,12,4760,14,100.00
2019,12,4810,14,1000.00
2019,12,4820,14,1000.00
2019,12,5710,14,300.00
2019,12,5720,14,400.00
2019,12,5730,14,200.00
2019,12,5740,14,1000.00
2019,12,5810,14,1000.00
2019,12,5820,14,1000.00
2019,12,6720,14,200.00
2019,12,6730,14,100.00
2019,12,6740,14,400.00
2019,12,6760,14,200.00
2019,12,6810,14,1000.00
2019,12,6820,14,1000.00
2019,12,7710,14,200.00
2019,12,7720,14,1000.00
2019,12,7730,14,100.00
2019,12,7740,14,200.00
2019,12,7810,14,1000.00
2019,12,7820,14,1000.00
2019,12,8710,14,400.00
2019,12,8720,14,1000.00
2019,12,8730,14,300.00
2019,12,8740,14,1000.00
2019,12,8760,14,300.00
2019,12,8810,14,1000.00
2019,12,8820,14,2000.00
2020,1,1710,14,100.00
2020,1,1720,14,1000.00
2020,1,1730,14,200.00
2020,1,1740,14,1000.00
2020,1,1760,14,300.00
2020,1,1810,14,2000.00
2020,1,1820,14,2000.00
2020,1,4710,14,200.00
2020,1,4720,14,300.00
2020,1,4730,14,300.00
2020,1,4740,14,1000.00
2020,1,4810,14,1000.00
2020,1,4820,14,1000.00
2020,1,5720,14,1000.00
2020,1,5730,14,300.00
2020,1,5740,14,1000.00
2020,1,5810,14,1000.00
2020,1,5820,14,1000.00
2020,1,6710,14,100.00
2020,1,6720,14,300.00
2020,1,6730,14,1000.00
2020,1,6740,14,1000.00
2020,1,6810,14,2000.00
2020,1,6820,14,300.00
2020,1,7720,14,200.00
2020,1,7730,14,400.00
2020,1,7740,14,300.00
2020,1,7810,14,1000.00
2020,1,7820,14,500.00
2020,1,8710,14,400.00
2020,1,8720,14,1000.00
2020,1,8730,14,100.00
2020,1,8740,14,1000.00
2020,1,8760,14,400.00
2018,6,6730,1,2000.00
2018,6,6740,1,6000.00
2018,6,6760,1,3000.00
2018,6,6810,1,20000.00
2018,6,6820,1,4000.00
2018,6,7710,1,2000.00
2018,6,7720,1,5000.00
2018,6,7730,1,4000.00
2018,6,7740,1,6000.00
2018,6,7810,1,10000.00
2018,6,7820,1,8000.00
2018,6,8710,1,7000.00
2018,6,8720,1,8000.00
2018,6,8730,1,2000.00
2018,6,8740,1,9000.00
2018,6,8760,1,2000.00
2018,6,8810,1,10000.00
2018,6,8820,1,20000.00
2018,7,1710,1,4000.00
2018,7,1720,1,7000.00
2018,7,1730,1,4000.00
2018,7,1740,1,20000.00
2018,7,1760,1,4000.00
2018,7,1810,1,30000.00
2018,7,1820,1,20000.00
2018,7,4710,1,4000.00
2018,7,4720,1,6000.00
2018,7,4730,1,1000.00
2018,7,4740,1,8000.00
2018,7,4760,1,3000.00
2018,7,4810,1,20000.00
2018,7,4820,1,9000.00
2018,7,5710,1,3000.00
2018,7,5720,1,4000.00
2018,7,5730,1,2000.00
2018,7,5740,1,8000.00
2018,7,5810,1,11000.00
2018,7,5820,1,9000.00
2018,7,6720,1,5000.00
2018,7,6730,1,2000.00
2018,7,6740,1,6000.00
2018,7,6760,1,4000.00
2018,7,6810,1,20000.00
2018,7,6820,1,5000.00
2018,7,7710,1,2000.00
2018,7,7720,1,4000.00
2018,7,7730,1,4000.00
2018,7,7740,1,5000.00
2018,7,7810,1,9000.00
2018,7,7820,1,9000.00
2018,7,8710,1,7000.00
2018,7,8720,1,6000.00
2018,7,8730,1,2000.00
2018,7,8740,1,8000.00
2018,7,8760,1,2000.00
2018,7,8810,1,10000.00
2018,7,8820,1,20000.00
2018,8,1710,1,3000.00
2018,8,1720,1,8000.00
2018,8,1730,1,4000.00
2018,8,1740,1,20000.00
2018,8,1760,1,3000.00
2018,8,1810,1,40000.00
2018,8,1820,1,20000.00
2018,8,4710,1,6000.00
2018,8,4720,1,7000.00
2018,8,4730,1,2000.00
2018,8,4740,1,9000.00
2018,8,4760,1,4000.00
2018,8,4810,1,20000.00
2018,8,4820,1,10000.00
2018,8,5710,1,4000.00
2018,8,5720,1,4000.00
2018,8,5730,1,2000.00
2018,8,5740,1,8000.00
2018,8,5810,1,12000.00
2018,8,5820,1,8000.00
2018,8,6720,1,6000.00
2018,8,6730,1,2000.00
2018,8,6740,1,8000.00
2018,8,6760,1,4000.00
2018,8,6810,1,20000.00
2018,8,6820,1,5000.00
2018,8,7710,1,2000.00
2018,8,7720,1,4000.00
2018,8,7730,1,4000.00
2018,8,7740,1,6000.00
2018,8,7810,1,10000.00
2018,8,7820,1,10000.00
2018,8,8710,1,8000.00
2018,8,8720,1,7000.00
2018,8,8730,1,3000.00
2018,8,8740,1,11000.00
2018,8,8760,1,2000.00
2018,8,8810,1,8000.00
2018,8,8820,1,20000.00
2018,9,1710,1,4000.00
2018,9,1720,1,6000.00
2018,9,1730,1,4000.00
2018,9,1740,1,20000.00
2018,9,1760,1,4000.00
2018,9,1810,1,40000.00
2018,9,1820,1,20000.00
2018,9,4710,1,5000.00
2018,9,4720,1,6000.00
2018,9,4730,1,2000.00
2018,9,4740,1,10000.00
2018,9,4760,1,3000.00
2018,9,4810,1,20000.00
2018,9,4820,1,9000.00
2018,9,5710,1,4000.00
2018,9,5720,1,5000.00
2018,9,5730,1,1000.00
2018,9,5740,1,7000.00
2018,9,5810,1,11000.00
2018,9,5820,1,10000.00
2018,9,6720,1,6000.00
2018,9,6730,1,3000.00
2018,9,6740,1,7000.00
2018,9,6760,1,3000.00
2018,9,6810,1,20000.00
2018,9,6820,1,5000.00
2018,9,7710,1,2000.00
2018,9,7720,1,5000.00
2018,9,7730,1,4000.00
2018,9,7740,1,6000.00
2018,9,7810,1,9000.00
2018,9,7820,1,9000.00
2018,9,8710,1,8000.00
2018,9,8720,1,8000.00
2018,9,8730,1,4000.00
2018,9,8740,1,11000.00
2018,9,8760,1,2000.00
2018,9,8810,1,10000.00
2018,9,8820,1,20000.00
2018,10,1710,1,4000.00
2018,10,1720,1,4000.00
2018,10,1730,1,4000.00
2018,10,1740,1,20000.00
2018,10,1760,1,4000.00
2018,10,1810,1,30000.00
2018,10,1820,1,20000.00
2018,10,4710,1,5000.00
2018,10,4720,1,6000.00
2018,10,4730,1,2000.00
2018,10,4740,1,11000.00
2018,10,4760,1,3000.00
2018,10,4810,1,20000.00
2018,10,4820,1,8000.00
2018,10,5710,1,4000.00
2018,10,5720,1,5000.00
2018,10,5730,1,2000.00
2018,10,5740,1,8000.00
2018,10,5810,1,9000.00
2018,10,5820,1,10000.00
2018,10,6720,1,5000.00
2018,10,6730,1,3000.00
2018,10,6740,1,7000.00
2017,11,8720,4,2000.00
2017,11,8730,4,1000.00
2017,11,8740,4,4000.00
2017,11,8750,4,2000.00
2017,11,8760,4,3000.00
2017,11,8810,4,400.00
2017,11,8820,4,1000.00
2017,12,006,4,300.00
2017,12,007,4,1000.00
2017,12,009,4,500.00
2017,12,013,4,100.00
2017,12,014,4,500.00
2017,12,015,4,500.00
2017,12,017,4,1000.00
2017,12,018,4,400.00
2017,12,019,4,2000.00
2017,12,020,4,500.00
2017,12,023,4,1000.00
2017,12,024,4,1000.00
2017,12,025,4,1000.00
2017,12,029,4,2000.00
2017,12,030,4,400.00
2017,12,031,4,200.00
2017,12,032,4,1000.00
2017,12,033,4,300.00
2017,12,034,4,500.00
2017,12,035,4,300.00
2017,12,039,4,1000.00
2017,12,040,4,3000.00
2017,12,1700,4,5000.00
2017,12,1710,4,1000.00
2017,12,1720,4,1000.00
2017,12,1730,4,200.00
2017,12,1740,4,3000.00
2017,12,1750,4,2000.00
2017,12,1760,4,2000.00
2017,12,1800,4,2000.00
2017,12,1810,4,2000.00
2017,12,1820,4,200.00
2017,12,4700,4,2000.00
2017,12,4710,4,300.00
2017,12,4740,4,100.00
2017,12,4750,4,2000.00
2017,12,4800,4,1000.00
2017,12,4810,4,1000.00
2017,12,5720,4,400.00
2017,12,5730,4,1000.00
2017,12,5740,4,2000.00
2017,12,5750,4,1000.00
2017,12,5810,4,1000.00
2017,12,5820,4,1000.00
2017,12,6700,4,2000.00
2017,12,6720,4,1000.00
2017,12,6740,4,2000.00
2017,12,6760,4,1000.00
2017,12,6800,4,2000.00
2017,12,6810,4,1000.00
2017,12,7700,4,300.00
2017,12,7710,4,200.00
2017,12,7720,4,1000.00
2017,12,7730,4,1000.00
2017,12,7740,4,1000.00
2017,12,7750,4,200.00
2017,12,7760,4,1000.00
2017,12,7810,4,300.00
2017,12,8700,4,1000.00
2017,12,8710,4,400.00
2017,12,8720,4,1000.00
2017,12,8740,4,2000.00
2017,12,8750,4,1000.00
2017,12,8760,4,100.00
2017,12,8810,4,400.00
2017,12,8820,4,1000.00
2018,1,006,4,1000.00
2018,1,009,4,1000.00
2018,1,013,4,400.00
2018,1,015,4,1000.00
2018,1,017,4,1000.00
2018,1,018,4,500.00
2018,1,019,4,200.00
2018,1,020,4,1000.00
2018,1,021,4,1000.00
2018,1,026,4,1000.00
2018,1,029,4,200.00
2018,1,030,4,400.00
2018,1,031,4,300.00
2018,1,032,4,400.00
2018,1,033,4,300.00
2018,1,034,4,1000.00
2018,1,035,4,500.00
2018,1,036,4,1000.00
2018,1,039,4,1000.00
2018,1,040,4,1000.00
2018,1,1700,4,3000.00
2018,1,1710,4,500.00
2018,1,1720,4,1000.00
2018,1,1730,4,2000.00
2018,1,1740,4,3000.00
2018,1,1750,4,1000.00
2018,1,1800,4,1000.00
2018,1,1810,4,1000.00
2018,1,1820,4,2000.00
2018,1,4730,4,1000.00
2018,1,4740,4,2000.00
2018,1,4750,4,2000.00
2018,1,4760,4,2000.00
2018,1,4800,4,2000.00
2018,1,4810,4,3000.00
2018,1,4820,4,2000.00
2018,1,5720,4,100.00
2018,1,5730,4,1000.00
2018,1,5740,4,2000.00
2018,1,5750,4,1000.00
2018,1,5800,4,2000.00
2018,1,5810,4,200.00
2018,1,5820,4,1000.00
2018,1,6700,4,1000.00
2018,1,6740,4,2000.00
2018,1,6750,4,3000.00
2018,1,6760,4,1000.00
2018,1,6810,4,200.00
2018,1,6820,4,400.00
2018,1,7710,4,400.00
2018,1,7730,4,100.00
2018,1,7740,4,2000.00
2018,1,7760,4,300.00
