EMPLOYEE_SURVEY_DATE,ORGANIZATION_CODE,POSITION_CODE,SATISFACTION_CODE,EMPLOYEE_TOPIC_CODE,EMPLOYEE_TOPIC_SCORE
2017-05-17 00:00:00.0,009,5600,3,53,0.662
2017-05-17 00:00:00.0,009,5600,3,54,0.662
2017-05-17 00:00:00.0,009,5700,3,50,0.734
2017-05-17 00:00:00.0,009,5700,4,51,0.81
2017-05-17 00:00:00.0,009,5700,3,52,0.725
2017-05-17 00:00:00.0,009,5700,2,53,0.646
2017-05-17 00:00:00.0,009,5700,3,54,0.756
2017-05-17 00:00:00.0,013,5400,3,50,0.706
2017-05-17 00:00:00.0,013,5400,3,51,0.766
2017-05-17 00:00:00.0,013,5400,1,52,0.484
2017-05-17 00:00:00.0,013,5400,3,53,0.713
2017-05-17 00:00:00.0,013,5400,4,54,0.862
2017-05-17 00:00:00.0,013,5500,3,50,0.673
2017-05-17 00:00:00.0,013,5500,3,51,0.704
2017-05-17 00:00:00.0,013,5500,1,52,0.466
2017-05-17 00:00:00.0,013,5500,2,53,0.642
2017-05-17 00:00:00.0,013,5500,4,54,0.88
2017-05-17 00:00:00.0,013,5700,3,50,0.668
2017-05-17 00:00:00.0,013,5700,4,51,0.845
2017-05-17 00:00:00.0,013,5700,1,52,0.422
2017-05-17 00:00:00.0,013,5700,3,53,0.76
2017-05-17 00:00:00.0,013,5700,2,54,0.644
2017-05-17 00:00:00.0,014,5400,3,50,0.784
2017-05-17 00:00:00.0,014,5400,4,51,0.827
2017-05-17 00:00:00.0,014,5400,4,52,0.818
2017-05-17 00:00:00.0,014,5400,2,53,0.627
2017-05-17 00:00:00.0,014,5400,4,54,0.862
2017-05-17 00:00:00.0,014,5600,3,50,0.715
2017-05-17 00:00:00.0,014,5600,3,51,0.708
2017-05-17 00:00:00.0,014,5600,3,52,0.7
2017-05-17 00:00:00.0,014,5600,2,53,0.611
2017-05-17 00:00:00.0,014,5600,4,54,0.839
2017-05-17 00:00:00.0,014,5700,3,50,0.752
2017-05-17 00:00:00.0,014,5700,3,51,0.669
2017-05-17 00:00:00.0,014,5700,4,52,0.854
2017-05-17 00:00:00.0,014,5700,3,53,0.705
2017-05-17 00:00:00.0,014,5700,3,54,0.78
2017-05-17 00:00:00.0,015,5400,3,50,0.702
2017-05-17 00:00:00.0,015,5400,3,51,0.722
2017-05-17 00:00:00.0,015,5400,3,52,0.651
2017-05-17 00:00:00.0,015,5400,3,53,0.655
2017-05-17 00:00:00.0,015,5400,3,54,0.78
2017-05-17 00:00:00.0,015,5500,3,50,0.664
2017-05-17 00:00:00.0,015,5500,4,51,0.81
2017-05-17 00:00:00.0,015,5500,2,52,0.616
2017-05-17 00:00:00.0,015,5500,2,53,0.611
2017-05-17 00:00:00.0,015,5500,2,54,0.617
2017-05-17 00:00:00.0,015,5600,3,50,0.746
2017-05-17 00:00:00.0,015,5600,3,51,0.717
2017-05-17 00:00:00.0,015,5600,3,52,0.796
2017-05-17 00:00:00.0,015,5600,2,53,0.603
2017-05-17 00:00:00.0,015,5600,4,54,0.87
2017-05-17 00:00:00.0,015,5700,3,50,0.734
2017-05-17 00:00:00.0,030,5600,4,54,0.844
2017-05-17 00:00:00.0,030,5700,3,50,0.74
2017-05-17 00:00:00.0,030,5700,3,51,0.685
2017-05-17 00:00:00.0,030,5700,3,52,0.744
2017-05-17 00:00:00.0,030,5700,3,53,0.697
2017-05-17 00:00:00.0,030,5700,4,54,0.834
2017-05-17 00:00:00.0,031,5400,3,50,0.74
2017-05-17 00:00:00.0,031,5400,3,51,0.783
2017-05-17 00:00:00.0,031,5400,4,52,0.818
2017-05-17 00:00:00.0,031,5400,3,53,0.677
2017-05-17 00:00:00.0,031,5400,3,54,0.681
2017-05-17 00:00:00.0,031,5500,3,50,0.799
2017-05-17 00:00:00.0,031,5500,4,51,0.81
2017-05-17 00:00:00.0,031,5500,3,52,0.739
2017-05-17 00:00:00.0,031,5500,4,53,0.811
2017-05-17 00:00:00.0,031,5500,4,54,0.834
2017-05-17 00:00:00.0,031,5600,3,50,0.726
2017-05-17 00:00:00.0,031,5600,3,51,0.739
2017-05-17 00:00:00.0,031,5600,3,52,0.73
2017-05-17 00:00:00.0,031,5600,3,53,0.655
2017-05-17 00:00:00.0,031,5600,3,54,0.78
2017-05-17 00:00:00.0,031,5700,3,50,0.74
2017-05-17 00:00:00.0,031,5700,3,51,0.669
2017-05-17 00:00:00.0,031,5700,3,52,0.774
2017-05-17 00:00:00.0,031,5700,3,53,0.655
2017-05-17 00:00:00.0,031,5700,4,54,0.862
2017-05-17 00:00:00.0,032,5400,3,50,0.7
2017-05-17 00:00:00.0,032,5400,3,51,0.73
2017-05-17 00:00:00.0,032,5400,3,52,0.744
2017-05-17 00:00:00.0,032,5400,2,53,0.583
2017-05-17 00:00:00.0,032,5400,3,54,0.744
2017-05-17 00:00:00.0,032,5600,3,50,0.699
2017-05-17 00:00:00.0,032,5600,3,51,0.748
2017-05-17 00:00:00.0,032,5600,2,52,0.634
2017-05-17 00:00:00.0,032,5600,3,53,0.76
2017-05-17 00:00:00.0,032,5600,3,54,0.654
2017-05-17 00:00:00.0,032,5700,3,50,0.76
2017-05-17 00:00:00.0,032,5700,3,51,0.781
2017-05-17 00:00:00.0,032,5700,3,52,0.8
2017-05-17 00:00:00.0,032,5700,3,53,0.708
2017-05-17 00:00:00.0,032,5700,3,54,0.752
2017-05-17 00:00:00.0,033,5400,3,50,0.759
2017-05-17 00:00:00.0,033,5400,4,51,0.81
2017-05-17 00:00:00.0,033,5400,3,52,0.686
2017-05-17 00:00:00.0,033,5400,3,53,0.713
2017-05-17 00:00:00.0,033,5400,4,54,0.826
2017-05-17 00:00:00.0,033,5500,2,50,0.568
2017-05-17 00:00:00.0,033,5500,2,51,0.563
2017-05-17 00:00:00.0,033,5500,2,52,0.59
2017-05-17 00:00:00.0,033,5500,2,53,0.572
2017-05-17 00:00:00.0,033,5500,2,54,0.545
2017-05-17 00:00:00.0,033,5600,3,50,0.698
2017-05-17 00:00:00.0,033,5600,4,51,0.814
2017-05-17 00:00:00.0,033,5600,3,52,0.678
2017-05-17 00:00:00.0,033,5600,1,53,0.497
2017-05-17 00:00:00.0,033,5600,3,54,0.803
2017-05-17 00:00:00.0,033,5700,3,50,0.734
2017-05-17 00:00:00.0,033,5700,3,51,0.77
2017-05-17 00:00:00.0,033,5700,4,52,0.845
2017-05-17 00:00:00.0,033,5700,2,53,0.607
2017-05-17 00:00:00.0,033,5700,3,54,0.712
2017-05-17 00:00:00.0,034,5400,3,50,0.791
2017-05-17 00:00:00.0,034,5400,4,51,0.836
2017-05-17 00:00:00.0,034,5400,3,52,0.801
2017-05-17 00:00:00.0,034,5400,3,53,0.666
2017-05-17 00:00:00.0,034,5400,4,54,0.862
2017-05-17 00:00:00.0,034,5500,3,50,0.767
2017-05-17 00:00:00.0,034,5500,3,51,0.757
2017-05-17 00:00:00.0,034,5500,3,52,0.783
2017-05-17 00:00:00.0,034,5500,3,53,0.757
2017-05-17 00:00:00.0,034,5500,3,54,0.771
2019-05-15 00:00:00.0,017,5400,3,53,0.668
2019-05-15 00:00:00.0,017,5400,3,54,0.769
2019-05-15 00:00:00.0,017,5500,3,50,0.715
2019-05-15 00:00:00.0,017,5500,3,51,0.711
2019-05-15 00:00:00.0,017,5500,4,52,0.81
2019-05-15 00:00:00.0,017,5500,2,53,0.648
2019-05-15 00:00:00.0,017,5500,3,54,0.69
2019-05-15 00:00:00.0,017,5600,3,50,0.739
2019-05-15 00:00:00.0,017,5600,3,51,0.703
2019-05-15 00:00:00.0,017,5600,3,52,0.772
2019-05-15 00:00:00.0,017,5600,3,53,0.703
2019-05-15 00:00:00.0,017,5600,3,54,0.777
2019-05-15 00:00:00.0,017,5700,3,50,0.762
2019-05-15 00:00:00.0,017,5700,3,51,0.684
2019-05-15 00:00:00.0,017,5700,3,52,0.805
2019-05-15 00:00:00.0,017,5700,3,53,0.782
2019-05-15 00:00:00.0,017,5700,3,54,0.777
2019-05-15 00:00:00.0,018,5400,3,50,0.759
2019-05-15 00:00:00.0,018,5400,3,51,0.676
2019-05-15 00:00:00.0,018,5400,4,52,0.888
2019-05-15 00:00:00.0,018,5400,3,53,0.766
2019-05-15 00:00:00.0,018,5400,3,54,0.705
2019-05-15 00:00:00.0,018,5500,3,50,0.767
2019-05-15 00:00:00.0,018,5500,3,51,0.668
2019-05-15 00:00:00.0,018,5500,4,52,0.883
2019-05-15 00:00:00.0,5720,4400,4,52,0.824
2019-05-15 00:00:00.0,5720,4400,3,53,0.696
2019-05-15 00:00:00.0,5720,4400,3,54,0.682
2019-05-15 00:00:00.0,5730,3800,3,50,0.718
2019-05-15 00:00:00.0,5730,3800,3,51,0.723
2019-05-15 00:00:00.0,5730,3800,4,52,0.833
2019-05-15 00:00:00.0,5730,3800,2,53,0.643
2019-05-15 00:00:00.0,5730,3800,3,54,0.671
2019-05-15 00:00:00.0,5730,3900,3,50,0.741
2019-05-15 00:00:00.0,5730,3900,3,51,0.769
2019-05-15 00:00:00.0,5730,3900,4,52,0.851
2019-05-15 00:00:00.0,5730,3900,3,53,0.661
2019-05-15 00:00:00.0,5730,3900,3,54,0.682
2019-05-15 00:00:00.0,5730,4000,3,50,0.714
2019-05-15 00:00:00.0,5730,4000,3,51,0.755
2019-05-15 00:00:00.0,5730,4000,3,52,0.76
2019-05-15 00:00:00.0,5730,4000,3,53,0.756
2019-05-15 00:00:00.0,5730,4000,2,54,0.587
2019-05-15 00:00:00.0,5740,1900,3,50,0.743
2019-05-15 00:00:00.0,5740,1900,4,51,0.888
2019-05-15 00:00:00.0,5740,1900,3,52,0.659
2019-05-15 00:00:00.0,5740,1900,3,53,0.689
2019-05-15 00:00:00.0,5740,1900,3,54,0.737
2019-05-15 00:00:00.0,5740,2000,3,50,0.762
2019-05-15 00:00:00.0,5740,2000,3,51,0.805
2019-05-15 00:00:00.0,5740,2000,3,52,0.769
2019-05-15 00:00:00.0,5740,2000,3,53,0.782
2019-05-15 00:00:00.0,5740,2000,3,54,0.69
2019-05-15 00:00:00.0,5740,2100,3,50,0.754
2019-05-15 00:00:00.0,5740,2100,3,51,0.778
2019-05-15 00:00:00.0,5740,2100,4,52,0.824
2019-05-15 00:00:00.0,5740,2100,3,53,0.692
2019-05-15 00:00:00.0,5740,2100,3,54,0.721
2019-05-15 00:00:00.0,5740,2200,3,50,0.689
2019-05-15 00:00:00.0,5740,2200,4,51,0.824
2019-05-15 00:00:00.0,7760,3100,3,53,0.76
2019-05-15 00:00:00.0,7760,3100,3,54,0.721
2019-05-15 00:00:00.0,7760,3200,3,50,0.693
2019-05-15 00:00:00.0,7760,3200,3,51,0.769
2019-05-15 00:00:00.0,7760,3200,2,52,0.537
2019-05-15 00:00:00.0,7760,3200,4,53,0.888
2019-05-15 00:00:00.0,7760,3200,2,54,0.577
2019-05-15 00:00:00.0,7760,3300,3,50,0.722
2019-05-15 00:00:00.0,7760,3300,4,51,0.885
2019-05-15 00:00:00.0,7760,3300,2,52,0.602
2019-05-15 00:00:00.0,7760,3300,3,53,0.711
2019-05-15 00:00:00.0,7760,3300,3,54,0.692
2019-05-15 00:00:00.0,7800,5200,3,50,0.652
2019-05-15 00:00:00.0,7800,5200,3,51,0.696
2019-05-15 00:00:00.0,7800,5200,3,52,0.668
2019-05-15 00:00:00.0,7800,5200,2,53,0.529
2019-05-15 00:00:00.0,7800,5200,3,54,0.713
2019-05-15 00:00:00.0,7810,4600,3,50,0.757
2019-05-15 00:00:00.0,7810,4600,4,51,0.824
2019-05-15 00:00:00.0,7810,4600,3,52,0.708
2019-05-15 00:00:00.0,7810,4600,4,53,0.815
2017-05-17 00:00:00.0,018,5500,3,50,0.72
2017-05-17 00:00:00.0,018,5500,2,51,0.576
2017-05-17 00:00:00.0,018,5500,3,52,0.774
2017-05-17 00:00:00.0,018,5500,3,53,0.801
2017-05-17 00:00:00.0,018,5500,3,54,0.73
2017-05-17 00:00:00.0,018,5600,3,50,0.696
2017-05-17 00:00:00.0,018,5600,2,51,0.619
2017-05-17 00:00:00.0,018,5600,3,52,0.71
2017-05-17 00:00:00.0,018,5600,3,53,0.684
2017-05-17 00:00:00.0,018,5600,3,54,0.769
2017-05-17 00:00:00.0,018,5700,3,50,0.684
2017-05-17 00:00:00.0,018,5700,2,51,0.629
2017-05-17 00:00:00.0,018,5700,3,52,0.654
2017-05-17 00:00:00.0,018,5700,3,53,0.707
2017-05-17 00:00:00.0,018,5700,3,54,0.747
2017-05-17 00:00:00.0,019,5400,3,50,0.69
2017-05-17 00:00:00.0,019,5400,2,51,0.634
2017-05-17 00:00:00.0,019,5400,3,52,0.66
2017-05-17 00:00:00.0,019,5400,3,53,0.721
2017-05-17 00:00:00.0,019,5400,3,54,0.744
2017-05-17 00:00:00.0,019,5500,3,50,0.732
2017-05-17 00:00:00.0,019,5500,3,51,0.658
2017-05-17 00:00:00.0,019,5500,3,52,0.66
2017-05-17 00:00:00.0,019,5500,3,53,0.757
2017-05-17 00:00:00.0,019,5500,4,54,0.853
2017-05-17 00:00:00.0,019,5600,3,50,0.696
2017-05-17 00:00:00.0,019,5600,3,51,0.736
2017-05-17 00:00:00.0,019,5600,2,52,0.572
2017-05-17 00:00:00.0,019,5600,3,53,0.76
2017-05-17 00:00:00.0,019,5600,3,54,0.717
2017-05-17 00:00:00.0,019,5700,3,50,0.75
2017-05-17 00:00:00.0,019,5700,3,51,0.689
2017-05-17 00:00:00.0,019,5700,4,52,0.827
2017-05-17 00:00:00.0,019,5700,3,53,0.713
2017-05-17 00:00:00.0,019,5700,3,54,0.771
2017-05-17 00:00:00.0,020,5400,3,50,0.695
2017-05-17 00:00:00.0,020,5400,3,51,0.689
2017-05-17 00:00:00.0,020,5400,3,52,0.792
2017-05-17 00:00:00.0,020,5400,2,53,0.556
2017-05-17 00:00:00.0,020,5400,3,54,0.744
2017-05-17 00:00:00.0,020,5500,3,50,0.78
2017-05-17 00:00:00.0,020,5500,3,51,0.65
2018-05-16 00:00:00.0,8810,4700,4,51,0.878
2018-05-16 00:00:00.0,8810,4700,3,52,0.757
2018-05-16 00:00:00.0,8810,4700,3,53,0.711
2018-05-16 00:00:00.0,8810,4700,2,54,0.626
2018-05-16 00:00:00.0,8810,4800,3,50,0.751
2018-05-16 00:00:00.0,8810,4800,3,51,0.76
2018-05-16 00:00:00.0,8810,4800,3,52,0.714
2018-05-16 00:00:00.0,8810,4800,3,53,0.798
2018-05-16 00:00:00.0,8810,4800,3,54,0.732
2018-05-16 00:00:00.0,8820,4900,2,50,0.643
2018-05-16 00:00:00.0,8820,4900,2,51,0.579
2018-05-16 00:00:00.0,8820,4900,3,52,0.667
2018-05-16 00:00:00.0,8820,4900,3,53,0.694
2018-05-16 00:00:00.0,8820,4900,2,54,0.631
2018-05-16 00:00:00.0,8820,5000,3,50,0.661
2018-05-16 00:00:00.0,8820,5000,2,51,0.634
2018-05-16 00:00:00.0,8820,5000,3,52,0.698
2018-05-16 00:00:00.0,8820,5000,3,53,0.726
2018-05-16 00:00:00.0,8820,5000,2,54,0.585
2018-05-16 00:00:00.0,8820,5100,3,50,0.652
2018-05-16 00:00:00.0,8820,5100,3,51,0.684
2018-05-16 00:00:00.0,8820,5100,3,52,0.706
2018-05-16 00:00:00.0,8820,5100,3,53,0.651
2018-05-16 00:00:00.0,8820,5100,2,54,0.567
2019-05-15 00:00:00.0,006,5400,3,50,0.725
2019-05-15 00:00:00.0,006,5400,2,51,0.595
2019-05-15 00:00:00.0,006,5400,3,52,0.76
2019-05-15 00:00:00.0,006,5400,3,53,0.774
2019-05-15 00:00:00.0,006,5400,3,54,0.769
2019-05-15 00:00:00.0,006,5500,3,50,0.744
2019-05-15 00:00:00.0,006,5500,2,51,0.595
2019-05-15 00:00:00.0,006,5500,3,52,0.778
2019-05-15 00:00:00.0,006,5500,4,53,0.851
2019-05-15 00:00:00.0,006,5500,3,54,0.753
2019-05-15 00:00:00.0,006,5600,3,50,0.731
2019-05-15 00:00:00.0,006,5600,3,51,0.796
2019-05-15 00:00:00.0,006,5600,4,52,0.842
2019-05-15 00:00:00.0,006,5600,3,53,0.725
2019-05-15 00:00:00.0,006,5600,2,54,0.561
2019-05-15 00:00:00.0,006,5700,3,50,0.707
2019-05-15 00:00:00.0,006,5700,4,51,0.851
2019-05-15 00:00:00.0,006,5700,3,52,0.718
2019-05-15 00:00:00.0,006,5700,2,53,0.574
2019-05-15 00:00:00.0,006,5700,3,54,0.686
2019-05-15 00:00:00.0,007,5400,3,50,0.759
2019-05-15 00:00:00.0,007,5400,4,51,0.86
2019-05-15 00:00:00.0,007,5400,3,52,0.769
2019-05-15 00:00:00.0,007,5400,3,53,0.725
2019-05-15 00:00:00.0,007,5400,3,54,0.682
2019-05-15 00:00:00.0,007,5500,3,50,0.749
2019-05-15 00:00:00.0,007,5500,3,51,0.792
2019-05-15 00:00:00.0,007,5500,3,52,0.696
2019-05-15 00:00:00.0,007,5500,4,53,0.865
2019-05-15 00:00:00.0,007,5500,2,54,0.641
2019-05-15 00:00:00.0,007,5600,3,50,0.716
2019-05-15 00:00:00.0,007,5600,3,51,0.7
2019-05-15 00:00:00.0,007,5600,3,52,0.805
2019-05-15 00:00:00.0,007,5600,3,53,0.762
2019-05-15 00:00:00.0,007,5600,2,54,0.597
2019-05-15 00:00:00.0,007,5700,3,50,0.722
2019-05-15 00:00:00.0,007,5700,4,51,0.842
2019-05-15 00:00:00.0,007,5700,2,52,0.622
2019-05-15 00:00:00.0,007,5700,3,53,0.774
2019-05-15 00:00:00.0,007,5700,2,54,0.649
2019-05-15 00:00:00.0,009,5400,3,50,0.69
2019-05-15 00:00:00.0,009,5400,3,51,0.741
2019-05-15 00:00:00.0,009,5400,3,52,0.668
2019-05-15 00:00:00.0,009,5400,2,53,0.645
2019-05-15 00:00:00.0,009,5400,3,54,0.705
2019-05-15 00:00:00.0,009,5500,3,50,0.78
2019-05-15 00:00:00.0,009,5500,4,51,0.866
2019-05-15 00:00:00.0,8740,2200,3,50,0.715
2019-05-15 00:00:00.0,8740,2200,3,51,0.764
2019-05-15 00:00:00.0,8740,2200,3,52,0.773
2019-05-15 00:00:00.0,8740,2200,3,53,0.67
2019-05-15 00:00:00.0,8740,2200,3,54,0.653
2019-05-15 00:00:00.0,8740,2300,3,50,0.722
2019-05-15 00:00:00.0,8740,2300,4,51,0.879
2019-05-15 00:00:00.0,8740,2300,3,52,0.659
2019-05-15 00:00:00.0,8740,2300,2,53,0.643
2019-05-15 00:00:00.0,8740,2300,3,54,0.705
2019-05-15 00:00:00.0,8740,2400,3,50,0.745
2019-05-15 00:00:00.0,8740,2400,3,51,0.784
2019-05-15 00:00:00.0,8740,2400,3,52,0.809
2019-05-15 00:00:00.0,8740,2400,3,53,0.709
2019-05-15 00:00:00.0,8740,2400,3,54,0.679
2019-05-15 00:00:00.0,8740,2500,3,50,0.745
2019-05-15 00:00:00.0,8740,2500,4,51,0.84
2019-05-15 00:00:00.0,8740,2500,3,52,0.745
2019-05-15 00:00:00.0,8740,2500,3,53,0.727
2019-05-15 00:00:00.0,8740,2500,3,54,0.669
2019-05-15 00:00:00.0,8740,2600,3,50,0.747
2019-05-15 00:00:00.0,8740,2600,3,51,0.8
2019-05-15 00:00:00.0,8740,2600,4,52,0.821
2019-05-15 00:00:00.0,8740,2600,3,53,0.682
2019-05-15 00:00:00.0,8740,2600,3,54,0.684
2019-05-15 00:00:00.0,8750,4100,3,50,0.74
2019-05-15 00:00:00.0,8750,4100,3,51,0.75
2019-05-15 00:00:00.0,8750,4100,3,52,0.723
2019-05-15 00:00:00.0,8750,4100,3,53,0.79
2019-05-15 00:00:00.0,8750,4100,3,54,0.698
2018-05-16 00:00:00.0,7820,5100,2,51,0.642
2018-05-16 00:00:00.0,7820,5100,2,52,0.614
2018-05-16 00:00:00.0,7820,5100,3,53,0.689
2018-05-16 00:00:00.0,7820,5100,2,54,0.567
2018-05-16 00:00:00.0,8700,4500,3,50,0.71
2018-05-16 00:00:00.0,8700,4500,2,51,0.628
2018-05-16 00:00:00.0,8700,4500,4,52,0.896
2018-05-16 00:00:00.0,8700,4500,2,53,0.647
2018-05-16 00:00:00.0,8700,4500,3,54,0.667
2018-05-16 00:00:00.0,8710,3500,3,50,0.764
2018-05-16 00:00:00.0,8710,3500,3,51,0.785
2018-05-16 00:00:00.0,8710,3500,4,52,0.896
2018-05-16 00:00:00.0,8710,3500,3,53,0.693
2018-05-16 00:00:00.0,8710,3500,3,54,0.683
2018-05-16 00:00:00.0,8710,3700,3,50,0.785
2018-05-16 00:00:00.0,8710,3700,4,51,0.815
2018-05-16 00:00:00.0,8710,3700,3,52,0.776
2018-05-16 00:00:00.0,8710,3700,4,53,0.839
2018-05-16 00:00:00.0,8710,3700,3,54,0.709
2018-05-16 00:00:00.0,8720,4300,3,50,0.788
2018-05-16 00:00:00.0,8720,4300,3,51,0.781
2018-05-16 00:00:00.0,8720,4300,4,52,0.864
2018-05-16 00:00:00.0,8720,4300,4,53,0.841
2018-05-16 00:00:00.0,8720,4300,3,54,0.667
2018-05-16 00:00:00.0,8720,4400,3,50,0.757
2018-05-16 00:00:00.0,8720,4400,3,51,0.755
2018-05-16 00:00:00.0,8720,4400,4,52,0.832
2018-05-16 00:00:00.0,8720,4400,4,53,0.811
2018-05-16 00:00:00.0,8720,4400,2,54,0.63
2018-05-16 00:00:00.0,8730,3800,3,50,0.748
2018-05-16 00:00:00.0,8730,3800,4,51,0.822
2018-05-16 00:00:00.0,8730,3800,3,52,0.776
2018-05-16 00:00:00.0,8730,3800,3,53,0.795
2018-05-16 00:00:00.0,8730,3800,2,54,0.599
2018-05-16 00:00:00.0,8730,3900,3,50,0.76
2018-05-16 00:00:00.0,8730,3900,3,51,0.758
2018-05-16 00:00:00.0,8730,3900,4,52,0.822
2018-05-16 00:00:00.0,8730,3900,3,53,0.758
2018-05-16 00:00:00.0,8730,3900,3,54,0.703
2018-05-16 00:00:00.0,8730,4000,3,50,0.678
2020-05-15 00:00:00.0,7730,3900,3,54,0.672
2020-05-15 00:00:00.0,7730,4000,3,50,0.765
2020-05-15 00:00:00.0,7730,4000,4,51,0.81
2020-05-15 00:00:00.0,7730,4000,5,52,0.921
2020-05-15 00:00:00.0,7730,4000,3,53,0.717
2020-05-15 00:00:00.0,7730,4000,2,54,0.613
2020-05-15 00:00:00.0,7740,1900,4,50,0.819
2020-05-15 00:00:00.0,7740,1900,4,51,0.876
2020-05-15 00:00:00.0,7740,1900,4,52,0.853
2020-05-15 00:00:00.0,7740,1900,3,53,0.774
2020-05-15 00:00:00.0,7740,1900,3,54,0.772
2020-05-15 00:00:00.0,7740,2000,4,50,0.825
2020-05-15 00:00:00.0,7740,2000,3,51,0.659
2020-05-15 00:00:00.0,7740,2000,5,52,0.931
2020-05-15 00:00:00.0,7740,2000,5,53,0.918
2020-05-15 00:00:00.0,7740,2000,3,54,0.79
